Độ khó, Câu hỏi
Ghi Nhớ, Đồ thị không liên thông là gì
Ghi Nhớ, Khi nào một đồ thị được gọi là không chu trình
Ghi Nhớ, Phép bù của một tập hợp là gì
Ghi Nhớ, Hàm Boolean được biểu diễn qua bảng chân lý như thế nào
Ghi Nhớ, Định lý Fermat nhỏ trong lý thuyết số là gì
Ghi Nhớ, Tập hợp con của một tập hợp là gì
Ghi Nhớ, Một tập hợp con tối thiểu là gì
Ghi Nhớ, Đồ thị phân đôi có điều kiện gì
Ghi Nhớ, Đồ thị liên thông yếu là gì
Ghi Nhớ, Chu trình Euler khác chu trình Hamilton như thế nào
Ghi Nhớ, Khái niệm của một hệ thống số dư Trung Quốc
Ghi Nhớ, Đồ thị phẳng được biểu diễn như thế nào
Ghi Nhớ, Một chu trình trong đồ thị là gì
Ghi Nhớ, Đồ thị phẳng có chu trình như thế nào
Ghi Nhớ, Định nghĩa của đồ thị không liên thông
Ghi Nhớ, Đồ thị vô hướng là gì
Ghi Nhớ, Đồ thị Hamilton có điều kiện gì
Ghi Nhớ, Sự khác nhau giữa đồ thị có hướng và đồ thị không có hướng
Ghi Nhớ, Phép hội trong tập hợp là gì
Ghi Nhớ, Định nghĩa phép hội của hai tập hợp
Ghi Nhớ, Phép kéo theo trong logic là gì
Ghi Nhớ, Một mệnh đề logic là gì
Ghi Nhớ, Phép và trong logic khác phép hoặc như thế nào
Ghi Nhớ, Phép bắc cầu trong logic là gì
Ghi Nhớ, Một tập hợp hữu hạn khác vô hạn ở điểm nào
Ghi Nhớ, Đồ thị định hướng có những đặc điểm gì
Ghi Nhớ, Khi nào hai tập hợp được gọi là bằng nhau
Ghi Nhớ, Định nghĩa của một phát biểu toán học
Ghi Nhớ, Định lý Euler trong lý thuyết đồ thị là gì
Ghi Nhớ, Một chu trình trong đồ thị có bao nhiêu cạnh
Ghi Nhớ, Phép hợp của nhiều tập hợp được tính như thế nào
Ghi Nhớ, Hàm đồng nhất là gì
Ghi Nhớ, Sự khác nhau giữa tập hợp con và tập hợp con chặt
Ghi Nhớ, Khi nào một đồ thị được gọi là Eulerian
Ghi Nhớ, Phép giao của hai mệnh đề là gì
Ghi Nhớ, Phép phủ định trong logic mệnh đề là gì
Ghi Nhớ, Số lượng chu trình trong một đồ thị là gì
Ghi Nhớ, Đồ thị liên thông yếu khác liên thông mạnh như thế nào
Ghi Nhớ, Một đồ thị phân đôi có điều kiện gì
Ghi Nhớ, Đồ thị hai phía được biểu diễn như thế nào
Ghi Nhớ, Khi nào một đồ thị có chu trình Euler
Ghi Nhớ, Đồ thị có hướng liên thông yếu là gì
Ghi Nhớ, Định nghĩa chu trình Euler
Ghi Nhớ, Đồ thị có trọng số khác đồ thị không trọng số như thế nào
Ghi Nhớ, Một đồ thị được gọi là đơn khi nào
Ghi Nhớ, An toàn thông tin là gì?
Ghi Nhớ, Các thành phần chính của an toàn thông tin là gì?
Ghi Nhớ, Bảo mật dữ liệu là gì?
Ghi Nhớ, Quy tắc 3A trong an toàn thông tin là gì?
Ghi Nhớ, Tấn công DDoS là gì?
Ghi Nhớ, Tấn công phishing là gì?
Ghi Nhớ, Mã hóa là gì?
Ghi Nhớ, Tại sao mã hóa dữ liệu là cần thiết?
Ghi Nhớ, Firewall là gì và nó có chức năng gì?
Ghi Nhớ, VPN là gì và nó được sử dụng để làm gì?
Ghi Nhớ, Xác thực hai yếu tố là gì?
Ghi Nhớ, Tại sao cần phải cập nhật phần mềm thường xuyên?
Ghi Nhớ, Tấn công mạng có thể gây ra những hậu quả gì?
Ghi Nhớ, Đối tượng nào có thể là mục tiêu của các tấn công mạng?
Ghi Nhớ, Các loại virus máy tính phổ biến là gì?
Ghi Nhớ, Phần mềm độc hại (malware) là gì?
Ghi Nhớ, Hệ thống thông tin an toàn cần có những yêu cầu nào?
Ghi Nhớ, Tại sao việc sao lưu dữ liệu là quan trọng?
Ghi Nhớ, Kiểm tra lỗ hổng bảo mật là gì?
Ghi Nhớ, Khái niệm "nhân viên nội bộ" trong an toàn thông tin là gì?
Ghi Nhớ, Các phương pháp bảo mật thông tin cơ bản là gì?
Ghi Nhớ, Chính sách bảo mật thông tin là gì?
Ghi Nhớ, Giám sát an ninh mạng là gì?
Ghi Nhớ, Chữ ký số là gì và nó có tác dụng gì?
Ghi Nhớ, Các loại tấn công vào mạng không dây là gì?
Ghi Nhớ, Social engineering là gì?
Ghi Nhớ, Ransomware là gì và cách phòng tránh nó?
Ghi Nhớ, Tại sao mật khẩu mạnh là quan trọng?
Ghi Nhớ, Các nguyên tắc cơ bản để tạo mật khẩu an toàn là gì?
Ghi Nhớ, Các loại lỗ hổng bảo mật thường gặp là gì?
Ghi Nhớ, Tại sao phải thực hiện kiểm tra bảo mật định kỳ?
Ghi Nhớ, Vai trò của chính sách bảo mật thông tin trong doanh nghiệp là gì?
Ghi Nhớ, Các biện pháp bảo mật thông tin trên thiết bị di động là gì?
Ghi Nhớ, Các tiêu chuẩn bảo mật thông tin quốc tế là gì?
Ghi Nhớ, Nguồn gốc của các cuộc tấn công mạng thường đến từ đâu?
Ghi Nhớ, Các kỹ thuật bảo mật thông tin cơ bản là gì?
Ghi Nhớ, Các loại chứng chỉ bảo mật thông tin phổ biến là gì?
Ghi Nhớ, Cách thức hoạt động của một cuộc tấn công mạng điển hình là gì?
Ghi Nhớ, Các công cụ mã hóa dữ liệu phổ biến là gì?
Ghi Nhớ, Phân quyền truy cập là gì trong an toàn thông tin?
Ghi Nhớ, Tại sao cần thiết phải đào tạo nhân viên về an toàn thông tin?
Ghi Nhớ, Tấn công Man-in-the-Middle là gì?
Ghi Nhớ, Các quy trình xử lý sự cố an toàn thông tin là gì?
Ghi Nhớ, Tầm quan trọng của việc bảo vệ dữ liệu cá nhân là gì?
Ghi Nhớ, Những rủi ro bảo mật thông tin phổ biến trong doanh nghiệp là gì?
Ghi Nhớ, Bảo mật thông tin trong môi trường đám mây là gì?
Ghi Nhớ, Các nguyên tắc 4A trong bảo mật thông tin là gì?
Ghi Nhớ, Lợi ích của việc sử dụng phần mềm diệt virus là gì?
Ghi Nhớ, Các biện pháp bảo vệ thông tin cá nhân trên mạng là gì?
Ghi Nhớ, Các loại dữ liệu nhạy cảm cần được bảo vệ là gì?
Ghi Nhớ, Khái niệm về "zero trust" trong an toàn thông tin là gì?
Ghi Nhớ, Mô hình bảo mật thông tin phổ biến nhất hiện nay là gì?
Ghi Nhớ, Quy trình kiểm tra bảo mật thông tin được thực hiện như thế nào?
Ghi Nhớ, Hậu quả của việc không bảo mật thông tin là gì?
Ghi Nhớ, Đâu là các công cụ theo dõi và giám sát an ninh mạng?
Ghi Nhớ, Các phương pháp kiểm soát truy cập là gì?
Ghi Nhớ, Tầm quan trọng của việc mã hóa thông tin trong giao dịch trực tuyến là gì?
Ghi Nhớ, Tại sao cần phải có một kế hoạch ứng phó sự cố?
Ghi Nhớ, Các bước trong quy trình xử lý sự cố an toàn thông tin là gì?
Ghi Nhớ, Tại sao tấn công mạng lại ngày càng gia tăng trong thời gian gần đây?
Ghi Nhớ, Khái niệm "an ninh mạng" khác với "bảo mật thông tin" như thế nào?
Ghi Nhớ, Các thành phần của một hệ thống an toàn thông tin là gì?
Ghi Nhớ, Vai trò của kiểm toán bảo mật thông tin là gì?
Ghi Nhớ, Các loại hình tấn công giả mạo thường gặp là gì?
Ghi Nhớ, Những phương pháp phát hiện và ngăn chặn tấn công mạng là gì?
Ghi Nhớ, Tầm quan trọng của việc bảo mật thông tin trong kinh doanh là gì?
Ghi Nhớ, Quy trình đảm bảo an toàn cho hệ thống thông tin là gì?
Ghi Nhớ, Cách để phát hiện một email giả mạo là gì?
Ghi Nhớ, Tại sao việc thiết lập một chính sách bảo mật thông tin là cần thiết?
Ghi Nhớ, Đâu là những lỗi thường gặp trong bảo mật thông tin cá nhân?
Ghi Nhớ, Các quy tắc cơ bản để bảo vệ thông tin cá nhân trực tuyến là gì?
Ghi Nhớ, Tại sao cần phải có sự đồng ý trước khi thu thập dữ liệu cá nhân?
Ghi Nhớ, Khái niệm "lỗ hổng bảo mật" là gì?
Ghi Nhớ, Vai trò của công nghệ mã hóa trong bảo mật thông tin là gì?
Ghi Nhớ, Các tiêu chuẩn và quy định về bảo mật thông tin là gì?
Ghi Nhớ, Các bước để khôi phục dữ liệu sau sự cố bảo mật là gì?
Ghi Nhớ, Tại sao việc chia sẻ thông tin cần phải cẩn trọng?
Ghi Nhớ, Cách thức hoạt động của phần mềm độc hại là gì?
Ghi Nhớ, Các phương pháp bảo mật thông tin trong giao dịch trực tuyến là gì?
Ghi Nhớ, Tầm quan trọng của việc giám sát và đánh giá hệ thống bảo mật là gì?
Ghi Nhớ, Các loại hình dịch vụ bảo mật thông tin là gì?
Ghi Nhớ, Các kỹ thuật phát hiện tấn công mạng phổ biến là gì?
Ghi Nhớ, Tại sao việc lưu trữ thông tin an toàn là cần thiết?
Ghi Nhớ, Khái niệm về "an toàn thông tin" trong doanh nghiệp là gì?
Ghi Nhớ, Những thách thức trong bảo mật thông tin hiện nay là gì?
Ghi Nhớ, Đâu là những sai lầm phổ biến khi quản lý thông tin bảo mật?
Ghi Nhớ, Tại sao việc đào tạo an toàn thông tin cho nhân viên là rất quan trọng?
Ghi Nhớ, Các cách để phát hiện một trang web giả mạo là gì?
Ghi Nhớ, Định nghĩa bảo mật thông tin là gì?
Ghi Nhớ, Mục tiêu chính của an toàn thông tin là gì?
Ghi Nhớ, Các loại tấn công mạng phổ biến nhất là gì?
Ghi Nhớ, Tại sao bảo mật mạng là cần thiết?
Ghi Nhớ, Đối tượng tấn công là ai trong các cuộc tấn công mạng?
Ghi Nhớ, Các phương pháp bảo mật thông tin là gì?
Ghi Nhớ, Virus máy tính là gì?
Ghi Nhớ, Định nghĩa tấn công lừa đảo là gì?
Ghi Nhớ, Tầm quan trọng của xác thực trong bảo mật thông tin là gì?
Ghi Nhớ, Mã hóa là một quá trình như thế nào?
Ghi Nhớ, Hệ thống phòng ngừa xâm nhập (IPS) là gì?
Ghi Nhớ, Tấn công SQL injection là gì?
Ghi Nhớ, Cách hoạt động của một cuộc tấn công ransomware là gì?
Ghi Nhớ, Tại sao cần bảo vệ thông tin cá nhân trên mạng?
Ghi Nhớ, Định nghĩa về mã độc (malware) là gì?
Ghi Nhớ, Tại sao thông tin nhạy cảm cần được mã hóa?
Ghi Nhớ, Cách phát hiện tấn công mạng là gì?
Ghi Nhớ, Các hình thức tấn công mạng nào đang gia tăng?
Ghi Nhớ, Xác thực một yếu tố là gì?
Ghi Nhớ, Phần mềm diệt virus có chức năng gì?
Ghi Nhớ, Cách tạo mật khẩu mạnh là gì?
Ghi Nhớ, Nguyên tắc của chính sách bảo mật thông tin là gì?
Ghi Nhớ, Cách thức hoạt động của phishing là gì?
Ghi Nhớ, Lợi ích của VPN trong bảo mật thông tin là gì?
Ghi Nhớ, Thông tin mật là gì?
Ghi Nhớ, Tấn công brute force là gì?
Ghi Nhớ, Các phương pháp phục hồi dữ liệu là gì?
Ghi Nhớ, Thời điểm nào nên sử dụng mã hóa dữ liệu?
Ghi Nhớ, Cách thực hiện kiểm soát truy cập là gì?
Ghi Nhớ, Định nghĩa "kiểm toán an ninh thông tin" là gì?
Ghi Nhớ, Mục đích của kiểm tra bảo mật là gì?
Ghi Nhớ, Lợi ích của việc sử dụng tường lửa là gì?
Ghi Nhớ, Xác thực nhiều yếu tố là gì?
Ghi Nhớ, Định nghĩa về “lỗ hổng bảo mật” là gì?
Ghi Nhớ, Nguyên nhân của việc tấn công mạng là gì?
Ghi Nhớ, Cách để bảo vệ máy tính khỏi virus là gì?
Ghi Nhớ, Quy trình phân tích và xử lý sự cố an toàn thông tin là gì?
Ghi Nhớ, Các tiêu chuẩn bảo mật thông tin quốc tế phổ biến là gì?
Ghi Nhớ, Ransomware có thể lây lan qua những phương tiện nào?
Ghi Nhớ, Khái niệm "hacker" là gì?
Ghi Nhớ, Những cách ngăn chặn phishing hiệu quả là gì?
Ghi Nhớ, Tại sao cần sao lưu dữ liệu thường xuyên?
Ghi Nhớ, Định nghĩa "an ninh mạng" là gì?
Ghi Nhớ, Quy trình xác thực người dùng là gì?
Ghi Nhớ, Khái niệm về "chính sách bảo mật" là gì?
Ghi Nhớ, Các công cụ kiểm tra lỗ hổng bảo mật là gì?
Ghi Nhớ, Phần mềm chống phần mềm độc hại có tác dụng gì?
Ghi Nhớ, Những nguyên tắc bảo mật thông tin cơ bản là gì?
Ghi Nhớ, Cách để phát hiện các trang web giả mạo là gì?
Ghi Nhớ, Tầm quan trọng của bảo mật thông tin trong doanh nghiệp là gì?
Ghi Nhớ, Các loại hình tấn công lừa đảo thường gặp là gì?
Ghi Nhớ, Định nghĩa về “mạng riêng ảo” (VPN) là gì?
Ghi Nhớ, Cách tạo và quản lý mật khẩu an toàn là gì?
Ghi Nhớ, Tại sao cần kiểm tra an ninh định kỳ cho hệ thống?
Ghi Nhớ, Các bước để phát hiện và xử lý sự cố bảo mật là gì?
Ghi Nhớ, Tầm quan trọng của việc cập nhật phần mềm là gì?
Ghi Nhớ, Các biện pháp bảo vệ thông tin trong môi trường đám mây là gì?
Ghi Nhớ, Tại sao dữ liệu cá nhân cần được bảo vệ?
Ghi Nhớ, Những rủi ro bảo mật thông tin trong giao dịch trực tuyến là gì?
Ghi Nhớ, Định nghĩa về “social engineering” là gì?
Ghi Nhớ, Các phương pháp mã hóa phổ biến là gì?
Ghi Nhớ, Tại sao việc thực hiện kiểm soát truy cập là quan trọng?
Ghi Nhớ, Khái niệm "xâm nhập hệ thống" là gì?
Ghi Nhớ, Các hình thức đánh cắp thông tin cá nhân là gì?
Ghi Nhớ, Tại sao cần phải xác thực các nguồn thông tin?
Ghi Nhớ, Quy trình chuẩn bị cho một sự cố bảo mật là gì?
Ghi Nhớ, Các bước để bảo vệ máy chủ khỏi các cuộc tấn công là gì?
Ghi Nhớ, Định nghĩa về "chứng chỉ số" là gì?
Ghi Nhớ, Những yêu cầu bảo mật thông tin trong doanh nghiệp là gì?
Ghi Nhớ, Tại sao thông tin trong email cần phải được bảo mật?
Ghi Nhớ, Lợi ích của việc sử dụng HTTPS là gì?
Ghi Nhớ, Định nghĩa về "bảo mật thông tin" trong tổ chức là gì?
Ghi Nhớ, Tại sao cần thiết phải phân loại dữ liệu nhạy cảm?
Ghi Nhớ, Khái niệm "quyền truy cập" trong an toàn thông tin là gì?
Ghi Nhớ, Các kỹ thuật bảo vệ dữ liệu cá nhân là gì?
Ghi Nhớ, Tại sao người dùng cần phải biết về an toàn thông tin?
Ghi Nhớ, Máy học là gì và nó khác gì so với lập trình truyền thống?
Ghi Nhớ, Thuật toán hồi quy là gì và được sử dụng trong trường hợp nào?
Ghi Nhớ, Khái niệm "overfitting" trong máy học là gì?
Ghi Nhớ, Tập dữ liệu huấn luyện là gì trong bối cảnh máy học?
Ghi Nhớ, Đặc trưng (feature) trong máy học là gì?
Ghi Nhớ, Phân loại là gì trong máy học?
Ghi Nhớ, Mô hình hồi quy logistic được sử dụng để giải quyết vấn đề nào?
Ghi Nhớ, Kỹ thuật cross-validation là gì và tại sao nó quan trọng?
Ghi Nhớ, K-means clustering là gì?
Ghi Nhớ, Sự khác biệt giữa supervised learning và unsupervised learning là gì?
Ghi Nhớ, Đánh giá mô hình máy học thường sử dụng các chỉ số nào?
Ghi Nhớ, Khái niệm "bias-variance tradeoff" là gì?
Ghi Nhớ, Thuật toán Decision Tree là gì?
Ghi Nhớ, Random Forest là gì và nó hoạt động như thế nào?
Ghi Nhớ, Tính chính xác (accuracy) trong mô hình máy học được định nghĩa như thế nào?
Ghi Nhớ, Phân loại nhị phân là gì?
Ghi Nhớ, Thuật toán Naive Bayes được sử dụng để làm gì?
Ghi Nhớ, Tính chính xác (precision) và độ nhạy (recall) là gì?
Ghi Nhớ, Sự khác biệt giữa mô hình hồi quy tuyến tính và hồi quy phi tuyến là gì?
Ghi Nhớ, Gradient Descent là gì và nó được sử dụng để làm gì trong máy học?
Ghi Nhớ, Tập dữ liệu kiểm tra (test set) là gì?
Ghi Nhớ, Mạng nơ-ron (neural network) là gì?
Ghi Nhớ, Một số ứng dụng phổ biến của máy học trong thực tế là gì?
Ghi Nhớ, Khái niệm "feature scaling" là gì và tại sao nó quan trọng?
Ghi Nhớ, Từ khóa "hyperparameter" trong máy học có ý nghĩa gì?
Ghi Nhớ, Thuật toán SVM (Support Vector Machine) là gì?
Ghi Nhớ, Đánh giá mô hình bằng phương pháp ROC curve là gì?
Ghi Nhớ, Phân loại đa lớp (multi-class classification) là gì?
Ghi Nhớ, Tại sao việc xử lý dữ liệu thiếu (missing data) lại quan trọng trong máy học?
Ghi Nhớ, Tập huấn luyện và tập kiểm tra có mục đích gì khác nhau?
Ghi Nhớ, Biến đổi log (log transformation) là gì và khi nào nên sử dụng nó?
Ghi Nhớ, "Ensemble learning" trong máy học là gì?
Ghi Nhớ, Tại sao việc chọn lựa đặc trưng (feature selection) là quan trọng trong máy học?
Ghi Nhớ, Kỹ thuật "dimensionality reduction" là gì?
Ghi Nhớ, Mô hình hồi quy Ridge và Lasso có điểm khác nhau gì?
Ghi Nhớ, Thuật toán K-nearest neighbors (KNN) là gì?
Ghi Nhớ, Khái niệm "confusion matrix" là gì?
Ghi Nhớ, Đặc trưng nào là quan trọng nhất trong mô hình máy học?
Ghi Nhớ, Cách xác định độ chính xác của mô hình bằng phương pháp nào?
Ghi Nhớ, Biến ngẫu nhiên (random variable) là gì trong thống kê?
Ghi Nhớ, "Bagging" trong máy học là gì?
Ghi Nhớ, Các phương pháp đánh giá mô hình phổ biến là gì?
Ghi Nhớ, Tại sao "data preprocessing" là bước cần thiết trong máy học?
Ghi Nhớ, Các loại dữ liệu nào thường được sử dụng trong máy học?
Ghi Nhớ, Đặc trưng của mô hình hồi quy logistic là gì?
Ghi Nhớ, Tại sao cần phải kiểm tra mô hình với dữ liệu chưa thấy?
Ghi Nhớ, Khái niệm "class imbalance" là gì trong máy học?
Ghi Nhớ, Cách sử dụng cross-validation để đánh giá mô hình?
Ghi Nhớ, Khái niệm "learning rate" trong máy học là gì?
Ghi Nhớ, Các loại thuật toán tối ưu hóa phổ biến trong máy học là gì?
Ghi Nhớ, Lý do mà dữ liệu phải được chuẩn hóa trước khi huấn luyện mô hình?
Ghi Nhớ, Sự khác nhau giữa classification và regression là gì?
Ghi Nhớ, "F1 Score" là gì và nó được tính toán như thế nào?
Ghi Nhớ, Khái niệm "AUC" trong đánh giá mô hình là gì?
Ghi Nhớ, Cách thực hiện k-fold cross-validation là gì?
Ghi Nhớ, Tại sao việc chọn lựa mô hình đúng là quan trọng trong máy học?
Ghi Nhớ, Tính chính xác (accuracy) có thể gây hiểu lầm trong trường hợp nào?
Ghi Nhớ, Tại sao "data augmentation" lại quan trọng trong huấn luyện mô hình?
Ghi Nhớ, Lý do mô hình có thể bị "overfitting" trong quá trình huấn luyện?
Ghi Nhớ, Khái niệm "cost function" là gì trong máy học?
Ghi Nhớ, "Early stopping" trong máy học là gì?
Ghi Nhớ, Các loại thuật toán học sâu (deep learning) phổ biến là gì?
